snapshot_time_utc,model_version,calibration_method,Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,favorite,favorite_probability
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Chelsea,Aston Villa,0.6557501554489136,0.18273769319057465,0.1615121215581894,H,0.6557501554489136
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Leeds,Fulham,0.37907272577285767,0.2721917927265167,0.34873542189598083,H,0.37907272577285767
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Man City,Hull,0.6119974851608276,0.21689115464687347,0.17111141979694366,H,0.6119974851608276
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Nott'm Forest,Everton,0.49701741337776184,0.15885382890701294,0.34412872791290283,H,0.49701741337776184
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Sunderland,Crystal Palace,0.5815944075584412,0.16254107654094696,0.25586453080177307,H,0.5815944075584412
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-19,2026/27,Liverpool,Tottenham,0.49661099910736084,0.28375139832496643,0.21963763236999512,H,0.49661099910736084
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Aston Villa,Leeds,0.26137304306030273,0.21195101737976074,0.5266759395599365,A,0.5266759395599365
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Coventry,Chelsea,0.3321792483329773,0.18811053037643433,0.47971025109291077,A,0.47971025109291077
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Crystal Palace,Arsenal,0.15355679392814636,0.2805097699165344,0.5659334063529968,A,0.5659334063529968
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Everton,Sunderland,0.49296700954437256,0.15115301311016083,0.3558799922466278,H,0.49296700954437256
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Fulham,Brighton,0.3073081076145172,0.17919519543647766,0.5134966969490051,A,0.5134966969490051
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Hull,Liverpool,0.37368127703666687,0.20760127902030945,0.4187174439430237,A,0.4187174439430237
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Ipswich,Brentford,0.24461084604263306,0.21811263263225555,0.5372765064239502,A,0.5372765064239502
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Man United,Nott'm Forest,0.591143786907196,0.1725664585828781,0.23628973960876465,H,0.591143786907196
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Newcastle,Man City,0.20670241117477417,0.24150420725345612,0.5517933964729309,A,0.5517933964729309
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-26,2026/27,Tottenham,Bournemouth,0.3537517488002777,0.21138468384742737,0.4348635971546173,A,0.4348635971546173
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Crystal Palace,Bournemouth,0.321846067905426,0.19606630504131317,0.4820876717567444,A,0.4820876717567444
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Fulham,Arsenal,0.24660253524780273,0.23899641633033752,0.5144010782241821,A,0.5144010782241821
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Aston Villa,Liverpool,0.22341763973236084,0.13831940293312073,0.638262927532196,A,0.638262927532196
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Coventry,Brentford,0.2874927222728729,0.1596156507730484,0.5528916120529175,A,0.5528916120529175
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Everton,Man City,0.3688878118991852,0.23260225355625153,0.3985099494457245,A,0.3985099494457245
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Tottenham,Brighton,0.277434378862381,0.19748537242412567,0.5250802636146545,A,0.5250802636146545
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Newcastle,Nott'm Forest,0.3208732306957245,0.23534713685512543,0.44377967715263367,A,0.44377967715263367
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Hull,Leeds,0.4684319496154785,0.21599264442920685,0.3155754506587982,H,0.4684319496154785
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Ipswich,Chelsea,0.3419366776943207,0.20689763128757477,0.45116570591926575,A,0.45116570591926575
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-30,2026/27,Man United,Sunderland,0.6968042254447937,0.09202025085687637,0.21117554605007172,H,0.6968042254447937
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2027-01-02,2026/27,Chelsea,Newcastle,0.6689184904098511,0.17812751233577728,0.15295402705669403,H,0.6689184904098511
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2027-01-02,2026/27,Arsenal,Ipswich,0.5664315819740295,0.2595347762107849,0.17403362691402435,H,0.5664315819740295
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2027-01-02,2026/27,Bournemouth,Aston Villa,0.6548651456832886,0.1980782151222229,0.14705663919448853,H,0.6548651456832886
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2027-01-02,2026/27,Brighton,Man United,0.5476087331771851,0.22113902866840363,0.23125222325325012,H,0.5476087331771851
