match_id,season,date,team,formation,manager,source,source_collected_at
2425_20241201_tottenham_fulham,2425,2024-12-01,Tottenham,,,fbref_soccerdata,2024-12-02
2425_20241201_tottenham_fulham,2425,2024-12-01,Fulham,,,fbref_soccerdata,2024-12-02
2425_20241203_ipswich_crystal_palace,2425,2024-12-03,Ipswich,,,fbref_soccerdata,2024-12-04
2425_20241203_ipswich_crystal_palace,2425,2024-12-03,Crystal Palace,,,fbref_soccerdata,2024-12-04
2425_20241203_leicester_west_ham,2425,2024-12-03,Leicester,,,fbref_soccerdata,2024-12-04
2425_20241203_leicester_west_ham,2425,2024-12-03,West Ham,,,fbref_soccerdata,2024-12-04
2425_20241204_arsenal_man_united,2425,2024-12-04,Arsenal,,,fbref_soccerdata,2024-12-05
2425_20241204_arsenal_man_united,2425,2024-12-04,Man United,,,fbref_soccerdata,2024-12-05
2425_20241204_aston_villa_brentford,2425,2024-12-04,Aston Villa,,,fbref_soccerdata,2024-12-05
2425_20241204_aston_villa_brentford,2425,2024-12-04,Brentford,,,fbref_soccerdata,2024-12-05
2425_20241204_everton_wolves,2425,2024-12-04,Everton,,,fbref_soccerdata,2024-12-05
